
####################################################################
# 			       TL-WR941ND  System Log 
# Time = 2018-03-14 16:20:09 577731s
# H-Ver = WR941ND v5 00000000 : S-Ver = 3.14.19 Build 130509 Rel.63583n 
# L = 192.168.0.1 : M = 255.255.255.0
# W1 = PPPoE : W = 56.14.111.74 : M = 255.255.255.255 : G = 56.14.111.74
####################################################################

Mar 14 12:59:57	 DHCP      	INFO   	DHCPS:Recv REQUEST from 03:B4:1D:40:9B:CD
Mar 14 12:59:57	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.0.104
Mar 14 13:00:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:00:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:02:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:03:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:04:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:05:58	 DHCP      	INFO   	DHCPS:Recv REQUEST from 51:FD:DE:2B:B6:DE
Mar 14 13:05:58	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.0.101
Mar 14 13:06:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:09:07	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:09:22	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:10:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:10:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:12:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:13:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:14:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:16:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:19:07	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:19:22	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:20:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:20:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:22:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:23:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:24:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:26:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:29:02	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:29:07	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:30:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:30:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:32:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:33:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:34:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:36:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:39:07	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:39:22	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:40:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:40:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:42:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:43:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:44:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:46:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:47:29	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:49:07	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:49:22	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:50:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:50:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:52:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:53:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:54:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:55:44	 PPP       	INFO   	send_phase 2112 pppd_phase = 0xd
Mar 14 13:55:44	 PPP       	INFO   	In pppd the httpd-id is 717, set link phase is 0xd 
Mar 14 13:55:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:56:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:59:07	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 13:59:22	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 13:59:57	 DHCP      	INFO   	DHCPS:Recv REQUEST from 03:B4:1D:40:9B:CD
Mar 14 13:59:57	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.0.104
Mar 14 14:00:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:00:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:02:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:03:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:04:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
