Title,Title_proedure,Opisanie_procedur,Ceny
Konsultacje,Dermatolog,Lek. Bartosz Pawlikowski,170 zł
Konsultacje,Dermatolog,Lek. Klaudia Orłowska – Orlik,150 zł
Konsultacje,Dermatolog,Lek. Magdalena Kutwin,150 zł
Konsultacje,Dermatolog,Lek. Hanna Kowalska,150 zł
Konsultacje,Dermatolog,Lek. Martyna Gabryjelska-Janiszewska,150 zł
Konsultacje,Dermatolog,Lek .Wojciech Drzazga,150 zł
Konsultacje,Dermatolog,Lek. Aleksandra Frątczak,150 zł
Konsultacje,Dermatolog,Magdalena Kubik (poniedziałek),130 zł
Konsultacje,Dermatolog,Karolina Miętkiewicz,150 zł
Konsultacje,Dermatolog,Lek. Michał Janiszewski,150 zł
Konsultacje,Dermatolog,Lek. Konrad Kędzia,150 zł
Konsultacje,Badanie histopatologiczne,"1 zmiana(wycięcie zmiany, badanie histopatologiczne, zdjęcie szwów)",od 500 zł
Konsultacje,Badanie histopatologiczne,Konsultacja + pobranie wymazu,od 400 zł
Konsultacje,Badanie histopatologiczne,Leczenie zgrzytania botoxem,od 700 zł
Konsultacje,Badanie histopatologiczne,Dermalux Led 1 naświetlanie,100 zł
Konsultacje,Badanie histopatologiczne,Pachy,od 1600 zł
Konsultacje,Badanie histopatologiczne,Dłonie,od 1600 zł
Konsultacje,Badanie histopatologiczne,Stopy,od 2200 zł
Konsultacje,Badanie histopatologiczne,CGF Harmony,od 1800 zł
Konsultacje,Badanie histopatologiczne,CGF Liquid,od 1400 zł
Konsultacje,Badanie histopatologiczne,CGF One,od 1000 zł
Konsultacje,Badanie histopatologiczne,"Jeden, dowolny obszar (1 ampułka)",2500 zł
Konsultacje,Badanie histopatologiczne,Każdy kolejny obszar przy jednoczesnym wykonaniu z pierwszym zabiegiem,500 zł
Konsultacje,Badanie histopatologiczne,Cena dot. autorskiego zabiegu wykonywanego osobiście przez dr Bartosza Pawlikowskiego,
Konsultacje,Badanie histopatologiczne,Zamykanie naczynek na nogach,od 600 zł
Konsultacje,Badanie histopatologiczne,"Zabieg (znieczulenie całej twarzy, podcięcie chirurgiczne, podanie kwasu hialuronowego, laser picosekundowy ,laser CO2, laser tulowy)",od 3900 zł
Konsultacje,Badanie histopatologiczne,"Zabieg (znieczulenie całej twarzy, podcięcie chirurgiczne, podanie kwasu hialuronowego połączonego z komórkami macierzystymi z tkanki tłuszczowej autologicznej , laser picosekundowy ,laser CO2, laser tulowy)",od 6000 zł
Konsultacje,Badanie histopatologiczne,Cała głowa,od 500 zł
Konsultacje,Badanie histopatologiczne,Laser,od 500 zł
Konsultacje,Badanie histopatologiczne,Elektrokoagulacja,od 500 zł
Konsultacje,Badanie histopatologiczne,Krioterapia,od 400 zł
Konsultacje,Badanie histopatologiczne,Do 3 zmian,od 350 zł
Konsultacje,Badanie histopatologiczne,Każda następna,od 30 zł
Konsultacje,Fototerapia (redukcja zmian w atopowym zapaleniu skóry),Dermalux Led 1 naświetlanie,100 zł
Konsultacje,Fototerapia (redukcja zmian w atopowym zapaleniu skóry),Laser,od 500 zł
Konsultacje,Fototerapia (redukcja zmian w atopowym zapaleniu skóry),Elektrokoagulacja,od 500 zł
Konsultacje,Fototerapia (redukcja zmian w atopowym zapaleniu skóry),Krioterapia,od 400 zł
Konsultacje,Fototerapia (redukcja zmian w atopowym zapaleniu skóry),Łyżeczkowanie,od 400 zł
Konsultacje,Fototerapia (redukcja zmian w atopowym zapaleniu skóry),Komputerowe badanie zmian skórnych,od 350 zł
Konsultacje,Fototerapia (redukcja zmian w atopowym zapaleniu skóry),Komputerowe badanie skóry głowy i włosów,od 500 zł
Konsultacje,Analiza skóry twarzy,Adonia (w przypadku wykonania zabiegu powyżej 1000 zł analiza jest bezpłatna),od 400 zł
Konsultacje,Analiza skóry twarzy,1 okolica,od 400 zł
Konsultacje,Analiza skóry twarzy,2 okolice,od 700 zł
Konsultacje,Analiza skóry twarzy,3 okolice,od 900 zł
Konsultacje,Analiza skóry twarzy,Twarz,od 600 zł
Konsultacje,Analiza skóry twarzy,Szyja,od 600 zł
Konsultacje,Analiza skóry twarzy,Dekolt,od 600zł
Konsultacje,Analiza skóry twarzy,Twarz (Zabieg nawilżająco-odżywczy Hydrabooster),od 700 zł
Konsultacje,Analiza skóry twarzy,Twarz (Zabieg liftingująco-odżywczy Liftbooster),od 900 zł
Konsultacje,Analiza skóry twarzy,Głowa (Dr. CYJ),od 700 zł
Konsultacje,Analiza skóry twarzy,,od 1600 zł
Konsultacje,Analiza skóry twarzy,Wolumetria,od 1200 zł
Konsultacje,Analiza skóry twarzy,1 ampułka(1 ml),od 800 zł
Konsultacje,Analiza skóry twarzy,Pachy,od 1600 zł
Konsultacje,Analiza skóry twarzy,Dłonie,od 1600 zł
Konsultacje,Analiza skóry twarzy,Stopy,od 2200 zł
Konsultacje,Analiza skóry twarzy,Nici hialuronowe,od 1500zł
Konsultacje,Analiza skóry twarzy,Nici APTOS,od 2500 zł
Konsultacje,Analiza skóry twarzy,ELLANSE,od 1200 zł
Konsultacje,Analiza skóry twarzy,Nici Barb 4d,od 300 zł sztuka
Konsultacje,Analiza skóry twarzy,CGF Harmony,od 1800 zł
Konsultacje,Analiza skóry twarzy,CGF Liquid,od 1400 zł
Konsultacje,Analiza skóry twarzy,CGF One,od 1000 zł
Konsultacje,Analiza skóry twarzy,"Jeden, dowolny obszar (1 ampułka)",2500 zł
Konsultacje,Analiza skóry twarzy,Każdy kolejny obszar przy jednoczesnym wykonaniu z pierwszym zabiegiem,500 zł
Konsultacje,Analiza skóry twarzy,Cena dot. autorskiego zabiegu wykonywanego osobiście przez dr Bartosza Pawlikowskiego,
Konsultacje,Analiza skóry twarzy,Dermalux Led 1 naświetlanie,100 zł
Konsultacje,Analiza skóry twarzy,Policzki,od 450 zł
Konsultacje,Analiza skóry twarzy,Podbródek,od 350 zł
Konsultacje,Analiza skóry twarzy,Brzuch,od 350 zł
Konsultacje,Analiza skóry twarzy,Biodra,od 600 zł
Konsultacje,Analiza skóry twarzy,Zamykanie naczynek na nogach,od 600 zł
Konsultacje,Analiza skóry twarzy,Bruzdy nosowo-wargowe,od 800 zł
Konsultacje,Analiza skóry twarzy,Zmarszczki poprzeczne czoła,od 800 zł
Konsultacje,Analiza skóry twarzy,Zmarszczki „marionetki”,od 800 zł
Konsultacje,Analiza skóry twarzy,Zmarszczki „palacza”,od 800 zł
Konsultacje,Analiza skóry twarzy,Nieoperacyjna korekta nosa,od 800 zł
Konsultacje,Analiza skóry twarzy,Ubytki objętości na skroniach,od 800 zł
Konsultacje,Analiza skóry twarzy,,3500 zł
Konsultacje,Analiza skóry twarzy,,4500 zł
Konsultacje,Analiza skóry twarzy,,8000 zł
Konsultacje,Analiza skóry twarzy,,10000 zł
Konsultacje,Analiza skóry twarzy,,2500 zł
Konsultacje,Analiza skóry twarzy,,6000 zł
Konsultacje,Analiza skóry twarzy,Laserowa korekta górnych powiek,3500 zł
Konsultacje,Analiza skóry twarzy,Cena dot. autorskiego zabiegu wykonywanego osobiście przez dr Bartosza Pawlikowskiego,
Konsultacje,Lifting – Nowość,LiftPico Twarz,od 1600 zł
Konsultacje,Lifting – Nowość,EyePico Powieki górne,od 1000 zł
